ID_start,ID_end
AMS,BCN
BOG,BCN
CAI,BCN
CDG,BCN
CMN,BCN
DOH,BCN
DXB,BCN
EWR,BCN
EZE,BCN
FRA,BCN
GRU,BCN
IST,BCN
JFK,BCN
LGW,BCN
LHR,BCN
MAD,BCN
MIA,BCN
SIN,BCN
SVO,BCN
TUN,BCN
YYZ,BCN
ADD,BKK
AKL,BKK
AMS,BKK
BOM,BKK
CAI,BKK
CAN,BKK
CDG,BKK
CGK,BKK
CKG,BKK
DEL,BKK
DOH,BKK
DXB,BKK
FRA,BKK
HKG,BKK
HND,BKK
ICN,BKK
IST,BKK
JNB,BKK
KMG,BKK
KUL,BKK
LHR,BKK
MAD,BKK
MEL,BKK
MNL,BKK
NBO,BKK
PEK,BKK
PVG,BKK
SGN,BKK
SIN,BKK
SVO,BKK
SYD,BKK
SZX,BKK
TPE,BKK
ATL,BOG
BCN,BOG
CDG,BOG
CLO,BOG
DFW,BOG
EWR,BOG
EZE,BOG
FRA,BOG
GRU,BOG
IAH,BOG
JFK,BOG
LIM,BOG
MAD,BOG
MCO,BOG
MEX,BOG
MIA,BOG
SCL,BOG
YYZ,BOG
ADD,BOM
AMS,BOM
BKK,BOM
CAI,BOM
CDG,BOM
DEL,BOM
DOH,BOM
DXB,BOM
EWR,BOM
FRA,BOM
HKG,BOM
ICN,BOM
IST,BOM
JED,BOM
JNB,BOM
KUL,BOM
LHR,BOM
NBO,BOM
SIN,BOM
AMS,BOS
ATL,BOS
CDG,BOS
CLT,BOS
DEN,BOS
DFW,BOS
DXB,BOS
EWR,BOS
FRA,BOS
IAH,BOS
JFK,BOS
LAS,BOS
LAX,BOS
LHR,BOS
MAD,BOS
MCO,BOS
MIA,BOS
ORD,BOS
PHX,BOS
SEA,BOS
SFO,BOS
YYZ,BOS
ATL,BSB
CDG,BSB
EZE,BSB
GRU,BSB
MIA,BSB
SDU,BSB
ADD,CAI
ALG,CAI
AMS,CAI
BCN,CAI
BKK,CAI
BOM,CAI
CAN,CAI
CDG,CAI
CGK,CAI
CMN,CAI
DOH,CAI
DXB,CAI
FRA,CAI
HRG,CAI
IST,CAI
JED,CAI
JFK,CAI
JNB,CAI
LHR,CAI
LOS,CAI
MAD,CAI
NBO,CAI
PEK,CAI
SVO,CAI
TUN,CAI
YYZ,CAI
ADD,CAN
AKL,CAN
AMS,CAN
BKK,CAN
CAI,CAN
CDG,CAN
CGK,CAN
CKG,CAN
DEL,CAN
DMK,CAN
DOH,CAN
DXB,CAN
HGH,CAN
HKG,CAN
ICN,CAN
IST,CAN
JED,CAN
KMG,CAN
KUL,CAN
LAX,CAN
LHR,CAN
MEL,CAN
MNL,CAN
NBO,CAN
PEK,CAN
PVG,CAN
SGN,CAN
SHA,CAN
SIN,CAN
SVO,CAN
SYD,CAN
TPE,CAN
XIY,CAN
ADL,CBR
MEL,CBR
SYD,CBR
ADD,CDG
ALG,CDG
AMS,CDG
ATL,CDG
BCN,CDG
BKK,CDG
BOG,CDG
BOM,CDG
BOS,CDG
BSB,CDG
CAI,CDG
CAN,CDG
CLT,CDG
CMN,CDG
DEL,CDG
DFW,CDG
DOH,CDG
DXB,CDG
EWR,CDG
EZE,CDG
FRA,CDG
GRU,CDG
HKG,CDG
HND,CDG
IAH,CDG
ICN,CDG
IST,CDG
JED,CDG
JFK,CDG
JNB,CDG
KUL,CDG
LAX,CDG
LGW,CDG
LHR,CDG
LIM,CDG
LOS,CDG
MAD,CDG
MEX,CDG
MIA,CDG
NBO,CDG
ORD,CDG
PEK,CDG
PVG,CDG
SCL,CDG
SEA,CDG
SFO,CDG
SGN,CDG
SIN,CDG
SVO,CDG
TPE,CDG
TUN,CDG
YYZ,CDG
BKK,CGK
CAI,CGK
CAN,CGK
DMK,CGK
DOH,CGK
DXB,CGK
HKG,CGK
HND,CGK
ICN,CGK
JED,CGK
KUL,CGK
MEL,CGK
MNL,CGK
PEK,CGK
PVG,CGK
SGN,CGK
SIN,CGK
SYD,CGK
TPE,CGK
BKK,CKG
CAN,CKG
DMK,CKG
DOH,CKG
HGH,CKG
HKG,CKG
ICN,CKG
KMG,CKG
PEK,CKG
PVG,CKG
SHA,CKG
SIN,CKG
SYD,CKG
SZX,CKG
TPE,CKG
XIY,CKG
BOG,CLO
LIM,CLO
MAD,CLO
MIA,CLO
ATL,CLT
BOS,CLT
CDG,CLT
DEN,CLT
DFW,CLT
EWR,CLT
FRA,CLT
GRU,CLT
IAH,CLT
JFK,CLT
LAS,CLT
LAX,CLT
LHR,CLT
MCO,CLT
MEX,CLT
MIA,CLT
ORD,CLT
PHX,CLT
SEA,CLT
SFO,CLT
YYZ,CLT
ALG,CMN
AMS,CMN
BCN,CMN
CAI,CMN
CDG,CMN
DOH,CMN
DXB,CMN
FRA,CMN
GRU,CMN
IST,CMN
JED,CMN
JFK,CMN
LGW,CMN
LHR,CMN
LOS,CMN
MAD,CMN
SVO,CMN
TUN,CMN
AMS,CPT
DXB,CPT
JNB,CPT
LHR,CPT
ADD,DEL
AMS,DEL
BKK,DEL
BOM,DEL
CAN,DEL
CDG,DEL
DOH,DEL
DXB,DEL
EWR,DEL
FRA,DEL
HKG,DEL
ICN,DEL
IST,DEL
JED,DEL
JFK,DEL
KUL,DEL
LHR,DEL
MEL,DEL
NBO,DEL
ORD,DEL
PEK,DEL
PVG,DEL
SIN,DEL
SVO,DEL
SYD,DEL
TPE,DEL
ATL,DEN
BOS,DEN
CLT,DEN
DFW,DEN
EWR,DEN
FRA,DEN
IAH,DEN
JFK,DEN
LAS,DEN
LAX,DEN
LHR,DEN
MCO,DEN
MEX,DEN
MIA,DEN
ORD,DEN
PHX,DEN
SEA,DEN
SFO,DEN
YYZ,DEN
AMS,DFW
ATL,DFW
BOG,DFW
BOS,DFW
CDG,DFW
CLT,DFW
DEN,DFW
DXB,DFW
EWR,DFW
EZE,DFW
FRA,DFW
GRU,DFW
IAH,DFW
ICN,DFW
JFK,DFW
LAS,DFW
LAX,DFW
LHR,DFW
LIM,DFW
MAD,DFW
MCO,DFW
MEX,DFW
MIA,DFW
ORD,DFW
PHX,DFW
SCL,DFW
SEA,DFW
SFO,DFW
SYD,DFW
YYZ,DFW
CAN,DMK
CGK,DMK
CKG,DMK
HGH,DMK
HKG,DMK
KMG,DMK
KUL,DMK
SGN,DMK
SIN,DMK
SZX,DMK
XIY,DMK
ADD,DOH
ALG,DOH
AMS,DOH
BCN,DOH
BKK,DOH
BOM,DOH
CAI,DOH
CAN,DOH
CDG,DOH
CGK,DOH
CKG,DOH
CMN,DOH
CPT,DOH
DEL,DOH
DXB,DOH
FRA,DOH
GRU,DOH
HGH,DOH
HKG,DOH
IAH,DOH
ICN,DOH
IST,DOH
JED,DOH
JFK,DOH
JNB,DOH
KUL,DOH
LHR,DOH
LOS,DOH
MAD,DOH
MEL,DOH
MNL,DOH
NBO,DOH
ORD,DOH
PEK,DOH
PVG,DOH
SGN,DOH
SIN,DOH
TUN,DOH
ADD,DXB
ADL,DXB
ALG,DXB
AMS,DXB
ATL,DXB
BCN,DXB
BKK,DXB
BOM,DXB
BOS,DXB
CAI,DXB
CAN,DXB
CDG,DXB
CGK,DXB
CMN,DXB
CPT,DXB
DEL,DXB
DFW,DXB
DOH,DXB
FRA,DXB
GRU,DXB
HKG,DXB
HND,DXB
IAH,DXB
ICN,DXB
IST,DXB
JED,DXB
JFK,DXB
JNB,DXB
KMG,DXB
KUL,DXB
LAX,DXB
LGW,DXB
LHR,DXB
LOS,DXB
MAD,DXB
MEL,DXB
MNL,DXB
NBO,DXB
PEK,DXB
PVG,DXB
SEA,DXB
SFO,DXB
SGN,DXB
SIN,DXB
SVO,DXB
SYD,DXB
TPE,DXB
TUN,DXB
YYZ,DXB
AMS,EWR
ATL,EWR
BCN,EWR
BOG,EWR
BOM,EWR
BOS,EWR
CDG,EWR
CLT,EWR
DEL,EWR
DEN,EWR
DFW,EWR
FRA,EWR
GRU,EWR
HKG,EWR
IAH,EWR
LAS,EWR
LAX,EWR
LHR,EWR
LIM,EWR
MAD,EWR
MCO,EWR
MEX,EWR
MIA,EWR
ORD,EWR
PEK,EWR
PHX,EWR
PVG,EWR
SEA,EWR
SFO,EWR
YYZ,EWR
AMS,EZE
ATL,EZE
BCN,EZE
BOG,EZE
BSB,EZE
CDG,EZE
DFW,EZE
FRA,EZE
GRU,EZE
IAH,EZE
JFK,EZE
LHR,EZE
LIM,EZE
MAD,EZE
MEX,EZE
MIA,EZE
SCL,EZE
ADD,FRA
ALG,FRA
AMS,FRA
ATL,FRA
BCN,FRA
BKK,FRA
BOG,FRA
BOM,FRA
BOS,FRA
CAI,FRA
CDG,FRA
CLT,FRA
CMN,FRA
DEL,FRA
DEN,FRA
DFW,FRA
DOH,FRA
DXB,FRA
EWR,FRA
EZE,FRA
GRU,FRA
HKG,FRA
HND,FRA
HRG,FRA
IAH,FRA
ICN,FRA
IST,FRA
JED,FRA
JFK,FRA
JNB,FRA
KUL,FRA
LAS,FRA
LAX,FRA
LHR,FRA
LOS,FRA
MAD,FRA
MCO,FRA
MEX,FRA
MIA,FRA
ORD,FRA
PEK,FRA
PVG,FRA
SEA,FRA
SFO,FRA
SGN,FRA
SIN,FRA
SVO,FRA
TPE,FRA
TUN,FRA
YYZ,FRA
AMS,GRU
ATL,GRU
BCN,GRU
BOG,GRU
BSB,GRU
CDG,GRU
CLT,GRU
CMN,GRU
DFW,GRU
DOH,GRU
DXB,GRU
EWR,GRU
EZE,GRU
FRA,GRU
IAH,GRU
IST,GRU
JFK,GRU
JNB,GRU
LAX,GRU
LHR,GRU
LIM,GRU
MAD,GRU
MCO,GRU
MEX,GRU
MIA,GRU
ORD,GRU
SCL,GRU
SDU,GRU
YYZ,GRU
AMS,HGH
CAN,HGH
CKG,HGH
DMK,HGH
DOH,HGH
HKG,HGH
ICN,HGH
KMG,HGH
KUL,HGH
PEK,HGH
SIN,HGH
SZX,HGH
TPE,HGH
XIY,HGH
ADD,HKG
ADL,HKG
AKL,HKG
AMS,HKG
BKK,HKG
BOM,HKG
CAN,HKG
CDG,HKG
CGK,HKG
CKG,HKG
DEL,HKG
DMK,HKG
DOH,HKG
DXB,HKG
EWR,HKG
FRA,HKG
HGH,HKG
HND,HKG
ICN,HKG
IST,HKG
JFK,HKG
JNB,HKG
KMG,HKG
KUL,HKG
LAX,HKG
LHR,HKG
MEL,HKG
MNL,HKG
ORD,HKG
PEK,HKG
PVG,HKG
SFO,HKG
SGN,HKG
SHA,HKG
SIN,HKG
SVO,HKG
SYD,HKG
TPE,HKG
XIY,HKG
YYZ,HKG
BKK,HND
CDG,HND
CGK,HND
DXB,HND
FRA,HND
HKG,HND
ICN,HND
KUL,HND
LAX,HND
LHR,HND
MNL,HND
PEK,HND
SEA,HND
SFO,HND
SGN,HND
SHA,HND
SIN,HND
TPE,HND
CAI,HRG
FRA,HRG
IST,HRG
LGW,HRG
SVO,HRG
AMS,IAH
ATL,IAH
BOG,IAH
BOS,IAH
CDG,IAH
CLT,IAH
DEN,IAH
DFW,IAH
DOH,IAH
DXB,IAH
EWR,IAH
EZE,IAH
FRA,IAH
GRU,IAH
ICN,IAH
IST,IAH
LAS,IAH
LAX,IAH
LHR,IAH
LIM,IAH
LOS,IAH
MCO,IAH
MEX,IAH
MIA,IAH
ORD,IAH
PEK,IAH
PHX,IAH
SEA,IAH
SFO,IAH
YYZ,IAH
AKL,ICN
AMS,ICN
ATL,ICN
BKK,ICN
BOM,ICN
CAN,ICN
CDG,ICN
CGK,ICN
CKG,ICN
DEL,ICN
DFW,ICN
DOH,ICN
DXB,ICN
FRA,ICN
HGH,ICN
HKG,ICN
HND,ICN
IAH,ICN
IST,ICN
JFK,ICN
KMG,ICN
KUL,ICN
LAS,ICN
LAX,ICN
LHR,ICN
MAD,ICN
MNL,ICN
NBO,ICN
ORD,ICN
PEK,ICN
PVG,ICN
SEA,ICN
SFO,ICN
SGN,ICN
SIN,ICN
SVO,ICN
SYD,ICN
SZX,ICN
TPE,ICN
XIY,ICN
YYZ,ICN
ADD,IST
ALG,IST
AMS,IST
BCN,IST
BKK,IST
BOM,IST
CAI,IST
CAN,IST
CDG,IST
CMN,IST
DEL,IST
DOH,IST
DXB,IST
FRA,IST
GRU,IST
HKG,IST
HRG,IST
IAH,IST
ICN,IST
JED,IST
JFK,IST
JNB,IST
KUL,IST
LAX,IST
LGW,IST
LHR,IST
LOS,IST
MAD,IST
NBO,IST
ORD,IST
PEK,IST
PVG,IST
SIN,IST
SVO,IST
TUN,IST
YYZ,IST
ADD,JED
BOM,JED
CAI,JED
CAN,JED
CDG,JED
CGK,JED
CMN,JED
DEL,JED
DOH,JED
DXB,JED
FRA,JED
IST,JED
JFK,JED
JNB,JED
KUL,JED
LAX,JED
LGW,JED
LHR,JED
MAD,JED
MNL,JED
NBO,JED
SIN,JED
TUN,JED
YYZ,JED
AMS,JFK
ATL,JFK
BCN,JFK
BOG,JFK
BOS,JFK
CAI,JFK
CDG,JFK
CLT,JFK
CMN,JFK
DEL,JFK
DEN,JFK
DFW,JFK
DOH,JFK
DXB,JFK
EZE,JFK
FRA,JFK
GRU,JFK
HKG,JFK
ICN,JFK
IST,JFK
JED,JFK
JNB,JFK
LAS,JFK
LAX,JFK
LHR,JFK
LIM,JFK
LOS,JFK
MAD,JFK
MCO,JFK
MEX,JFK
MIA,JFK
ORD,JFK
PEK,JFK
PHX,JFK
PVG,JFK
SCL,JFK
SEA,JFK
SFO,JFK
SVO,JFK
TPE,JFK
YYZ,JFK
ADD,JNB
AMS,JNB
ATL,JNB
BKK,JNB
BOM,JNB
CAI,JNB
CDG,JNB
CPT,JNB
DOH,JNB
DXB,JNB
FRA,JNB
GRU,JNB
HKG,JNB
IST,JNB
JED,JNB
JFK,JNB
LHR,JNB
LOS,JNB
NBO,JNB
